x,y,count
60,14,4
58,4,2
104,16,3
12,84,1
74,9,5
11,96,5
60,115,1
35,38,2
111,40,3
31,114,2
56,6,1
28,40,1
34,108,5
42,107,3
46,55,1
43,115,1
48,70,1
119,50,5
120,66,1
103,31,2
115,21,2
7,101,1
35,108,2
23,71,1
45,96,1
52,96,1
116,23,1
25,111,1
121,18,2
111,113,2
115,106,1
28,69,2
7,75,1
104,13,4
47,102,2
77,64,3
109,7,1
62,62,5
20,95,2
35,96,1
114,49,4
88,107,1
118,99,1
70,104,2
62,43,2
90,41,1
44,45,8
116,101,2
39,72,1
42,89,2
93,16,2
69,10,1
84,46,1
117,96,1
102,7,1
15,82,3
50,53,2
41,40,5
93,37,1
12,40,4
10,75,2
16,93,4
73,83,1
57,17,1
54,36,1
16,7,1
19,49,2
16,95,5
69,67,2
109,22,2
56,12,2
51,32,4
14,49,2
43,93,2
15,88,5
69,52,1
76,62,1
107,31,1
53,16,1
33,90,4
24,47,1
35,90,1
10,92,5
51,68,4
40,98,1
40,35,1
102,90,1
100,87,1
82,46,1
106,76,1
75,92,4
78,22,1
44,39,2
87,23,1
101,55,2
84,55,6
84,102,2
61,41,1
12,73,4
47,66,6
73,93,1
106,73,1
69,102,2
23,64,2
11,99,1
40,40,4
87,82,2
84,54,8
119,75,2
66,98,3
101,7,4
97,15,3
33,38,1
70,106,2
48,34,2
69,98,1
71,75,3
96,72,2
76,21,1
13,40,3
99,8,4
27,91,2
13,87,5
17,93,4
75,13,2
93,7,1
61,22,2
78,18,1
12,92,2
43,46,1
13,58,1
47,37,3
63,8,2
39,44,2
52,40,3
18,37,1
41,33,2
61,66,3
102,16,4
37,42,3
13,57,5
13,43,3
25,37,1
17,9,5
106,37,1
90,14,1
108,28,3
64,84,2
79,83,2
53,105,2
66,75,3
46,40,1
99,22,1
74,111,1
86,11,2
116,29,8
65,101,3
112,38,5
60,70,2
83,103,4
109,31,2
18,64,2
22,107,3
99,53,2
80,86,3
77,79,1
37,35,5
92,101,1
83,98,1
45,74,2
116,35,3
109,42,3
65,102,2
92,64,1
95,49,3
52,56,5
84,93,1
37,33,2
40,11,1
105,8,5
14,107,1
65,74,1
51,85,2
67,99,3
78,59,3
63,59,14
75,106,2
18,65,2
44,11,4
48,47,5
43,40,1
92,21,2
64,8,3
27,44,1
25,95,3
48,30,2
50,42,1
44,56,1
12,105,1
38,40,1
100,37,1
54,69,4
65,9,1
68,10,2
74,11,2
78,28,1
59,67,3
