x,y,Tier,WinLose
32,32,Normal,1
106,102,Normal,0
17,75,Normal,1
99,105,Normal,0
98,27,Normal,1
69,65,Normal,0
117,109,Normal,0
56,42,Normal,1
113,58,Normal,0
114,61,Normal,0
48,46,Normal,1
52,106,Normal,0
11,44,Normal,1
41,74,Normal,1
121,106,High,1
7,11,High,0
117,108,High,1
116,108,High,1
118,109,High,1
9,9,High,0
10,10,High,0
10,9,High,0
6,10,High,0
116,108,High,1
8,9,VeryHigh,1
115,107,VeryHigh,0
103,96,VeryHigh,0
10,11,VeryHigh,1
117,107,VeryHigh,0
8,9,VeryHigh,1
119,109,VeryHigh,0
116,108,VeryHigh,0
22,12,VeryHigh,1
12,7,VeryHigh,1
11,8,VeryHigh,0
118,107,VeryHigh,1
28,11,VeryHigh,0
8,9,VeryHigh,0
100,108,VeryHigh,1
115,104,VeryHigh,1
29,12,VeryHigh,0
11,10,VeryHigh,0
116,110,VeryHigh,1
114,105,VeryHigh,1
93,85,High,0
111,82,High,0
112,73,High,0
53,108,High,0
10,11,High,1
11,11,High,1
49,11,High,1
84,106,High,0
9,9,High,1
23,19,High,1
120,107,Normal,0
71,106,Normal,0
82,11,Normal,1
115,108,Normal,0
95,104,Normal,0
16,68,Normal,1
50,47,Normal,1
113,43,Normal,0
33,10,Normal,1
15,44,Normal,1
114,106,Normal,1
99,96,Normal,1
115,103,Normal,1
47,10,Normal,0
112,107,Normal,1
114,102,Normal,1
14,36,Normal,0
11,8,Normal,0
33,32,Normal,0
42,11,Normal,0
11,9,Normal,0
89,105,Normal,1
111,99,Normal,1
50,72,Normal,1
104,33,Normal,1
90,82,Normal,1
109,18,Normal,0
15,73,Normal,0
111,19,Normal,0
84,21,Normal,0
77,68,High,0
47,43,High,1
114,60,High,0
50,31,High,1
62,103,High,0
52,105,High,0
81,35,High,0
9,7,High,1
71,32,High,1
60,43,High,1
111,106,VeryHigh,0
63,17,VeryHigh,1
11,53,VeryHigh,1
85,30,VeryHigh,1
115,106,VeryHigh,0
54,89,VeryHigh,0
66,88,VeryHigh,0
81,33,VeryHigh,1
98,80,VeryHigh,0
31,31,VeryHigh,1
113,50,Normal,1
9,7,Normal,0
49,11,Normal,0
29,109,Normal,1
90,11,Normal,0
90,81,Normal,1
14,66,Normal,0
33,32,Normal,0
113,89,Normal,1
48,107,Normal,1
94,108,High,0
79,96,High,0
117,107,High,0
15,17,High,1
13,11,High,1
16,51,High,1
13,9,High,1
67,12,High,1
92,84,High,0
106,34,High,0
113,107,VeryHigh,0
60,11,VeryHigh,1
14,51,VeryHigh,1
49,67,VeryHigh,1
91,84,VeryHigh,0
47,65,VeryHigh,1
116,108,VeryHigh,0
115,81,VeryHigh,0
117,109,VeryHigh,0
23,13,VeryHigh,1
59,10,Normal,1
113,89,Normal,0
15,34,Normal,1
14,13,Normal,1
110,93,Normal,0
117,107,Normal,0
109,107,Normal,0
35,36,Normal,1
113,65,Normal,0
66,9,Normal,1
14,51,High,0
34,32,High,0
11,8,High,0
115,108,High,1
73,65,High,1
10,10,High,0
91,108,High,1
76,105,High,1
75,105,High,1
47,10,High,0
107,108,Pro,0
114,106,Pro,0
15,21,Pro,1
114,104,Pro,0
15,19,Pro,1
14,20,Pro,1
13,15,Pro,1
15,25,Pro,1
113,107,Pro,0
113,106,Pro,0
25,106,Normal,1
80,24,Normal,0
114,107,Normal,1
82,32,Normal,0
31,30,Normal,0
14,65,Normal,0
70,65,Normal,1
106,60,Normal,1
14,60,Normal,0
52,106,Normal,1
14,95,Normal,0
50,70,Normal,1
119,26,Normal,1
119,110,Normal,0
78,23,Normal,1
66,61,Normal,0
113,48,Normal,0
14,49,Normal,1
23,104,Normal,1
13,88,Normal,1
15,19,Pro,1
19,23,Pro,1
105,102,Pro,0
13,17,Pro,1
116,105,Pro,0
115,97,Pro,0
113,107,Pro,0
101,108,Pro,0
14,19,Pro,1
16,20,Pro,1
78,73,Normal,0
37,36,Normal,1
48,12,Normal,1
16,92,Normal,1
116,108,Normal,0
115,107,Normal,0
83,106,Normal,0
13,34,Normal,1
112,48,Normal,0
93,10,Normal,1
20,15,Normal,0
12,28,Normal,0
68,107,Normal,1
113,85,Normal,1
32,11,Normal,0
9,10,Normal,0
81,106,Normal,1
39,10,Normal,0
72,61,Normal,1
115,109,Normal,1
35,32,Normal,1
9,7,Normal,1
50,10,Normal,1
13,37,Normal,1
16,35,Normal,1
77,68,Normal,0
111,80,Normal,0
65,108,Normal,0
119,110,Normal,0
114,75,Normal,0
120,111,Normal,1
50,55,Normal,0
91,17,Normal,0
82,39,Normal,0
31,108,Normal,1
88,107,Normal,1
94,87,Normal,1
8,8,Normal,0
14,70,Normal,0
114,84,Normal,1
12,16,VeryHigh,0
26,28,VeryHigh,0
83,99,VeryHigh,1
52,9,VeryHigh,0
118,107,VeryHigh,1
11,12,VeryHigh,0
114,106,VeryHigh,1
9,10,VeryHigh,0
114,107,VeryHigh,1
62,106,VeryHigh,1
16,86,Normal,0
114,30,Normal,0
112,38,Normal,1
111,24,Normal,0
14,86,Normal,0
115,109,Normal,1
39,104,Normal,1
17,93,Normal,1
61,58,Normal,1
58,55,Normal,0
46,11,VeryHigh,0
94,85,VeryHigh,1
117,109,VeryHigh,1
9,10,VeryHigh,0
35,39,VeryHigh,0
115,107,VeryHigh,1
80,105,VeryHigh,1
28,29,VeryHigh,0
42,10,VeryHigh,0
111,78,VeryHigh,1
104,107,Normal,1
54,31,Normal,0
89,46,Normal,1
116,93,Normal,1
15,72,Normal,0
13,35,Normal,0
9,7,Normal,0
89,81,Normal,1
50,50,Normal,0
36,107,Normal,1
115,109,VeryHigh,0
13,11,VeryHigh,1
11,11,VeryHigh,1
10,13,VeryHigh,1
9,9,VeryHigh,1
116,105,VeryHigh,0
11,9,VeryHigh,1
111,108,VeryHigh,0
117,108,VeryHigh,0
116,108,VeryHigh,0
115,109,High,1
61,105,High,1
69,104,High,1
39,38,High,0
111,101,High,1
43,11,High,0
62,10,High,0
13,33,High,0
44,82,High,0
111,63,High,1
10,8,Normal,1
120,108,Normal,0
12,36,Normal,1
99,51,Normal,0
18,25,Normal,1
69,64,Normal,0
41,10,Normal,1
118,109,Normal,0
15,45,Normal,1
72,108,Normal,0
10,7,VeryHigh,1
112,69,VeryHigh,0
113,108,VeryHigh,0
13,9,VeryHigh,1
108,63,VeryHigh,0
114,105,VeryHigh,0
13,32,VeryHigh,1
115,108,VeryHigh,0
43,9,VeryHigh,1
29,30,VeryHigh,1
83,105,VeryHigh,0
112,107,VeryHigh,0
33,32,VeryHigh,1
94,86,VeryHigh,0
11,9,VeryHigh,1
11,10,VeryHigh,1
9,8,VeryHigh,1
112,59,VeryHigh,0
84,105,VeryHigh,0
23,10,VeryHigh,1
14,57,VeryHigh,1
62,11,VeryHigh,1
43,15,VeryHigh,1
89,107,VeryHigh,0
114,107,VeryHigh,0
92,84,VeryHigh,0
115,109,VeryHigh,0
27,29,VeryHigh,1
117,108,VeryHigh,0
72,10,VeryHigh,1
67,106,VeryHigh,1
13,10,VeryHigh,0
116,106,VeryHigh,1
116,105,VeryHigh,1
19,11,VeryHigh,0
93,85,VeryHigh,1
11,12,VeryHigh,0
13,11,VeryHigh,0
10,10,VeryHigh,0
114,107,VeryHigh,1
14,11,VeryHigh,0
14,21,VeryHigh,0
115,108,VeryHigh,1
9,9,VeryHigh,0
12,14,VeryHigh,0
85,104,VeryHigh,1
109,103,VeryHigh,1
112,86,VeryHigh,1
85,105,VeryHigh,1
22,17,VeryHigh,0
111,106,VeryHigh,1
119,110,VeryHigh,1
115,108,VeryHigh,1
16,30,VeryHigh,0
23,12,VeryHigh,0
13,13,VeryHigh,0
10,12,VeryHigh,0
116,109,VeryHigh,1
116,107,VeryHigh,1
31,19,VeryHigh,0
111,29,VeryHigh,0
108,19,VeryHigh,1
44,83,VeryHigh,0
7,7,VeryHigh,1
34,96,VeryHigh,1
87,31,VeryHigh,1
18,91,VeryHigh,0
57,54,VeryHigh,1
62,88,VeryHigh,0
12,96,VeryHigh,0
96,108,High,0
83,107,High,0
117,107,High,0
12,11,High,0
12,30,High,0
56,10,High,0
48,31,High,0
83,50,High,0
38,40,High,0
92,84,High,0
13,35,VeryHigh,1
9,11,VeryHigh,1
74,102,VeryHigh,0
113,94,VeryHigh,0
109,54,VeryHigh,0
14,11,VeryHigh,1
38,11,VeryHigh,1
